threads,tempo_medio,speedup
1,95.69051780290029,1.0
2,51.95671972399869,1.8417351655612904
3,61.21821273899841,1.5631053819044551
4,43.19342431929981,2.215395498526001
5,41.66677989989985,2.2965661861268596
6,32.38640501300106,2.954650809945923
7,30.71219226460089,3.1157175944484403
8,26.182757707302518,3.6547150178994197
9,24.395661063003352,3.9224400419309573
10,21.460687227798918,4.458874815478807
11,20.652141168799425,4.633442945250945
12,19.570035421197826,4.889644588954114
13,18.9617039861987,5.046514694699841
14,18.47125648509973,5.180509397403002
15,17.38028006429813,5.50569481325355
16,16.07056101130147,5.954398090745359
17,15.279973065100785,6.262479481816359
18,14.365658425500442,6.661060354396309
19,14.173578581296898,6.75133081275403
20,13.08525474390044,7.312850966658135
21,12.760931144903589,7.498709672226137
22,11.848365808800736,8.076262950273128
23,11.663044902197726,8.204591391470066
24,11.061573876900365,8.650714524696042
